"stat";"reaktor";"stav";"kapacita";"start";"dostaveno";"zavreno";"lat";"long";"platz"
"Bulharsko";"KOZLODUY-2";"uzavøená";440;1970;1975;2002;"43.74611";"23.77056";"VRATZA"
"Bulharsko";"KOZLODUY-3";"uzavøená";440;1973;1980;2006;"43.74611";"23.77056";"VRATZA"
"Bulharsko";"KOZLODUY-4";"uzavøená";440;1973;1982;2006;"43.74611";"23.77056";"VRATZA"
"Bulharsko";"KOZLODUY-5";"funkèní";1000;1980;1987;;"43.74611";"23.77056";"VRATZA"
"Bulharsko";"KOZLODUY-6";"funkèní";1000;1982;1991;;"43.74611";"23.77056";"VRATZA"
"Bulharsko";"KOZLODUY-7";"plánovaná";1200;2020;;;"43.74611";"23.77056";"VRATZA"
"Kanada";"BRUCE-1";"funkèní";830;1971;1977;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"BRUCE-2";"funkèní";830;1970;1976;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"BRUCE-3";"funkèní";830;1972;1977;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"BRUCE-4";"funkèní";830;1972;1978;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"BRUCE-5";"funkèní";872;1978;1984;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"BRUCE-6";"funkèní";891;1978;1984;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"BRUCE-7";"funkèní";872;1979;1986;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"BRUCE-8";"funkèní";872;1979;1987;;"44.3416";"-81.57";"TIVERTON"
"Kanada";"DARLINGTON-1";"funkèní";934;1981;1990;;"43.867";"-78.7244";"TOWN OF NEWCASTLE"
"Kanada";"DARLINGTON-2";"funkèní";934;1981;1990;;"43.867";"-78.7244";"TOWN OF NEWCASTLE"
"Kanada";"DARLINGTON-3";"funkèní";934;1984;1992;;"43.867";"-78.7244";"TOWN OF NEWCASTLE"
"Kanada";"DARLINGTON-4";"funkèní";934;1985;1993;;"43.867";"-78.7244";"TOWN OF NEWCASTLE"
"Kanada";"DOUGLAS POINT";"uzavøená";218;1960;1967;1984;"44.32667";"-81.6";"TIVERTON"
"Kanada";"GENTILLY-1";"uzavøená";266;1966;1971;1977;"46.3941";"-72.3553";"BECANCOUR"
"Kanada";"GENTILLY-2";"uzavøená";675;1974;1982;2012;"46.3941";"-72.3553";"BECANCOUR"
"Kanada";"PICKERING-1";"funkèní";542;1966;1971;;"43.8116";"-79.0695";"PICKERING"
"Kanada";"PICKERING-2";"uzavøená";542;1966;1971;2007;"43.8116";"-79.0695";"PICKERING"
"Kanada";"PICKERING-3";"uzavøená";542;1967;1972;2008;"43.8116";"-79.0695";"PICKERING"
"Kanada";"PICKERING-4";"funkèní";542;1968;1973;;"43.8116";"-79.0695";"PICKERING"
"Kanada";"PICKERING-5";"funkèní";540;1974;1982;;"43.8116";"-79.0695";"PICKERING"
"Kanada";"PICKERING-6";"funkèní";540;1975;1983;;"43.8116";"-79.0695";"PICKERING"
"Kanada";"PICKERING-7";"funkèní";540;1976;1984;;"43.8116";"-79.0695";"PICKERING"
"Kanada";"PICKERING-8";"funkèní";540;1976;1986;;"43.8116";"-79.0695";"PICKERING"
"Kanada";"POINT LEPREAU";"funkèní";705;1975;1982;;"45.068";"-66.4554";"SAINT JOHN"
"Kanada";"ROLPHTON NPD";"uzavøená";25;1958;1962;1987;"46.18667";"-77.65778";"ROLPHTON"
"Èesko";"DUKOVANY-1";"funkèní";500;1979;1985;;"49.0893";"16.1491";"DUKOVANY"
"Èesko";"DUKOVANY-2";"funkèní";500;1979;1986;;"49.0893";"16.1491";"DUKOVANY"
"Èesko";"DUKOVANY-3";"funkèní";500;1979;1986;;"49.0893";"16.1491";"DUKOVANY"
"Èesko";"DUKOVANY-4";"funkèní";500;1979;1987;;"49.0893";"16.1491";"DUKOVANY"
"Èesko";"TEMELIN-1";"funkèní";1080;1987;2000;;"49.1812";"14.3771";"TEMELIN"
"Èesko";"TEMELIN-2";"funkèní";1080;1987;2002;;"49.1812";"14.3771";"TEMELIN"
"Finsko";"LOVIISA-1";"funkèní";531;1971;1977;;"60.3715";"26.3423";"LOVIISA"
"Finsko";"LOVIISA-2";"funkèní";526;1972;1980;;"60.3715";"26.3423";"LOVIISA"
"Finsko";"OLKILUOTO-1";"funkèní";910;1974;1978;;"61.2354";"21.44083";"OLKILUOTO"
"Finsko";"OLKILUOTO-2";"funkèní";910;1975;1980;;"61.2354";"21.44083";"OLKILUOTO"
"Finsko";"OLKILUOTO-3";"výstavba";1720;2005;;;"61.2354";"21.44083";"OLKILUOTO"
"Finsko";"HANHIKIVI-1";"plánovaná";1250;2019;;;;;"Pyhäjoki"
"Francie";"BELLEVILLE-1";"funkèní";1363;1980;1987;;"47.5105";"2.87116";"LERE"
"Francie";"BELLEVILLE-2";"funkèní";1363;1980;1988;;"47.5105";"2.87116";"LERE"
"Francie";"BLAYAIS-1";"funkèní";951;1977;1981;;"45.2562";"-0.69129";"BRAUD ST.LOUIS"
"Francie";"BLAYAIS-2";"funkèní";951;1977;1982;;"45.2562";"-0.69129";"BRAUD ST.LOUIS"
"Francie";"BLAYAIS-3";"funkèní";951;1978;1983;;"45.2562";"-0.69129";"BRAUD ST.LOUIS"
"Francie";"BLAYAIS-4";"funkèní";951;1978;1983;;"45.2562";"-0.69129";"BRAUD ST.LOUIS"
"Francie";"BUGEY-1";"uzavøená";555;1965;1972;1994;"45.325278";"5.270833";"ST.VULBAS"
"Francie";"BUGEY-2";"funkèní";945;1972;1978;;"45.325278";"5.270833";"ST.VULBAS"
"Francie";"BUGEY-3";"funkèní";945;1973;1978;;"45.325278";"5.270833";"ST.VULBAS"
"Francie";"BUGEY-4";"funkèní";917;1974;1979;;"45.325278";"5.270833";"ST.VULBAS"
"Francie";"BUGEY-5";"funkèní";917;1974;1979;;"45.325278";"5.270833";"ST.VULBAS"
"Francie";"CATTENOM-1";"funkèní";1362;1979;1986;;"49.4164";"6.21737";"CATTENOM"
"Francie";"CATTENOM-2";"funkèní";1362;1980;1987;;"49.4164";"6.21737";"CATTENOM"
"Francie";"CATTENOM-3";"funkèní";1362;1982;1990;;"49.4164";"6.21737";"CATTENOM"
"Francie";"CATTENOM-4";"funkèní";1362;1983;1991;;"49.4164";"6.21737";"CATTENOM"
"Francie";"CHINON A-1";"uzavøená";80;1957;1963;1973;"47.230556";"0.170556";"AVOINE"
"Francie";"CHINON A-2";"uzavøená";230;1959;1965;1985;"47.230556";"0.170556";"AVOINE"
"Francie";"CHINON A-3";"uzavøená";480;1961;1966;1990;"47.230556";"0.170556";"AVOINE"
"Francie";"CHINON B-1";"funkèní";954;1977;1982;;"47.230556";"0.170556";"AVOINE"
"Francie";"CHINON B-2";"funkèní";954;1977;1983;;"47.230556";"0.170556";"AVOINE"
"Francie";"CHINON B-3";"funkèní";954;1980;1986;;"47.230556";"0.170556";"AVOINE"
"Francie";"CHINON B-4";"funkèní";954;1981;1987;;"47.230556";"0.170556";"AVOINE"
"Francie";"CHOOZ B-1";"funkèní";1560;1984;1996;;"50.09";"4.789444";"CHOOZ"
"Francie";"CHOOZ B-2";"funkèní";1560;1985;1997;;"50.09";"4.789444";"CHOOZ"
"Francie";"CHOOZ-A (ARDENNES)";"uzavøená";320;1962;1967;1991;"50.09";"4.789444";"CHOOZ"
"Francie";"CIVAUX-1";"funkèní";1561;1988;1997;;"46.4566";"0.65446";"CIVAUX"
"Francie";"CIVAUX-2";"funkèní";1561;1991;1999;;"46.4566";"0.65446";"CIVAUX"
"Francie";"CRUAS-1";"funkèní";956;1978;1983;;"44.6336";"4.75652";"CRUAS"
"Francie";"CRUAS-2";"funkèní";956;1978;1984;;"44.6336";"4.75652";"CRUAS"
"Francie";"CRUAS-3";"funkèní";956;1979;1984;;"44.6336";"4.75652";"CRUAS"
"Francie";"CRUAS-4";"funkèní";956;1979;1984;;"44.6336";"4.75652";"CRUAS"
"Francie";"DAMPIERRE-1";"funkèní";937;1975;1980;;"47.7323";"2.51311";"DAMPIERRE-EN-BURLY"
"Francie";"DAMPIERRE-2";"funkèní";937;1975;1980;;"47.7323";"2.51311";"DAMPIERRE-EN-BURLY"
"Francie";"DAMPIERRE-3";"funkèní";937;1975;1981;;"47.7323";"2.51311";"DAMPIERRE-EN-BURLY"
"Francie";"DAMPIERRE-4";"funkèní";937;1975;1981;;"47.7323";"2.51311";"DAMPIERRE-EN-BURLY"
"Francie";"EL-4 (MONTS D'ARREE)";"uzavøená";75;1962;1967;1985;"48.3533";"-3.8722";"BRENNILIS"
"Francie";"FESSENHEIM-1";"funkèní";920;1971;1977;;"47.903";"7.56437";"FESSENHEIM"
"Francie";"FESSENHEIM-2";"funkèní";920;1972;1977;;"47.903";"7.56437";"FESSENHEIM"
"Francie";"FLAMANVILLE-1";"funkèní";1382;1979;1985;;"49.5367";"-1.88112";"FLAMANVILLE"
"Francie";"FLAMANVILLE-2";"funkèní";1382;1980;1986;;"49.5367";"-1.88112";"FLAMANVILLE"
"Francie";"FLAMANVILLE-3";"výstavba";1650;2007;;;"49.5367";"-1.88112";"FLAMANVILLE"
"Francie";"G-2 (MARCOULE)";"uzavøená";43;1955;1959;1980;"44.14333";"4.70944";"MARCOULE"
"Francie";"G-3 (MARCOULE)";"uzavøená";43;1956;1960;1984;"44.14333";"4.70944";"MARCOULE"
"Francie";"GOLFECH-1";"funkèní";1363;1982;1990;;"44.1046";"0.84536";"GOLFECH"
"Francie";"GOLFECH-2";"funkèní";1363;1984;1993;;"44.1046";"0.84536";"GOLFECH"
"Francie";"GRAVELINES-1";"funkèní";951;1975;1980;;"51.0139";"2.13752";"GRAVELINES"
"Francie";"GRAVELINES-2";"funkèní";951;1975;1980;;"51.0139";"2.13752";"GRAVELINES"
"Francie";"GRAVELINES-3";"funkèní";951;1975;1980;;"51.0139";"2.13752";"GRAVELINES"
"Francie";"GRAVELINES-4";"funkèní";951;1976;1981;;"51.0139";"2.13752";"GRAVELINES"
"Francie";"GRAVELINES-5";"funkèní";951;1979;1984;;"51.0139";"2.13752";"GRAVELINES"
"Francie";"GRAVELINES-6";"funkèní";951;1979;1985;;"51.0139";"2.13752";"GRAVELINES"
"Francie";"NOGENT-1";"funkèní";1363;1981;1987;;"48.517";"3.52004";"NOGENT-SUR-SEINE"
"Francie";"NOGENT-2";"funkèní";1363;1982;1988;;"48.517";"3.52004";"NOGENT-SUR-SEINE"
"Francie";"PALUEL-1";"funkèní";1382;1977;1984;;"49.8569";"0.63529";"PALUEL"
"Francie";"PALUEL-2";"funkèní";1382;1978;1984;;"49.8569";"0.63529";"PALUEL"
"Francie";"PALUEL-3";"funkèní";1382;1979;1985;;"49.8569";"0.63529";"PALUEL"
"Francie";"PALUEL-4";"funkèní";1382;1980;1986;;"49.8569";"0.63529";"PALUEL"
"Francie";"PENLY-1";"funkèní";1382;1982;1990;;"49.975";"1.21494";"PENLY"
"Francie";"PENLY-2";"funkèní";1382;1984;1992;;"49.975";"1.21494";"PENLY"
"Francie";"PHENIX";"uzavøená";142;1968;1973;2010;"44.14333";"4.71167";"MARCOULE"
"Francie";"ST. ALBAN-1";"funkèní";1381;1979;1985;;"45.404";"4.75397";"SAINT-MAURICE-L'EXIL"
"Francie";"ST. ALBAN-2";"funkèní";1381;1979;1986;;"45.404";"4.75397";"SAINT-MAURICE-L'EXIL"
"Francie";"ST. LAURENT A-1";"uzavøená";500;1963;1969;1990;"47.72";"1.5775";"ST. LAURENT DES EAUX"
"Francie";"ST. LAURENT A-2";"uzavøená";530;1966;1971;1992;"47.72";"1.5775";"ST. LAURENT DES EAUX"
"Francie";"ST. LAURENT B-1";"funkèní";956;1976;1981;;"47.72";"1.5775";"ST. LAURENT DES EAUX"
"Francie";"ST. LAURENT B-2";"funkèní";956;1976;1981;;"47.72";"1.5775";"ST. LAURENT DES EAUX"
"Francie";"SUPER-PHENIX";"uzavøená";1242;1976;1986;1998;"45.75833";"5.47222";"CREYS-MALVILLE"
"Francie";"TRICASTIN-1";"funkèní";955;1974;1980;;"44.3297";"4.73318";"PIERRELATTE"
"Francie";"TRICASTIN-2";"funkèní";955;1974;1980;;"44.3297";"4.73318";"PIERRELATTE"
"Francie";"TRICASTIN-3";"funkèní";955;1975;1981;;"44.3297";"4.73318";"PIERRELATTE"
"Francie";"TRICASTIN-4";"funkèní";955;1975;1981;;"44.3297";"4.73318";"PIERRELATTE"
"Nìmecko";"AVR JUELICH";"uzavøená";15;1961;1967;1988;"50.90306";"6.4212";"JUELICH"
"Nìmecko";"BIBLIS-A";"uzavøená";1225;1970;1974;2011;"49.70889";"8.41285";"BIBLIS"
"Nìmecko";"BIBLIS-B";"uzavøená";1300;1972;1976;2011;"49.70889";"8.41285";"BIBLIS"
"Nìmecko";"BROKDORF";"funkèní";1480;1976;1986;;"53.85";"9.34455";"OSTERENDE"
"Nìmecko";"BRUNSBUETTEL";"uzavøená";806;1970;1976;2011;"53.8912";"9.2012";"BRUNSBUETTEL"
"Nìmecko";"EMSLAND";"funkèní";1406;1982;1988;;"52.4706";"7.32177";"LINGEN (EMS)"
"Nìmecko";"GRAFENRHEINFELD";"uzavøená";1345;1975;1981;2015;"49.984";"10.1847";"SCHWEINFURT"
"Nìmecko";"GREIFSWALD-1";"uzavøená";440;1970;1973;1989;"54.1412";"13.66442";"GREIFSWALD"
"Nìmecko";"GREIFSWALD-2";"uzavøená";440;1970;1974;1990;"54.1412";"13.66442";"GREIFSWALD"
"Nìmecko";"GREIFSWALD-3";"uzavøená";440;1972;1977;1990;"54.1412";"13.66442";"GREIFSWALD"
"Nìmecko";"GREIFSWALD-4";"uzavøená";440;1972;1979;1990;"54.1412";"13.66442";"GREIFSWALD"
"Nìmecko";"GREIFSWALD-5";"uzavøená";440;1976;1989;1990;"54.1412";"13.66442";"GREIFSWALD"
"Nìmecko";"GROHNDE";"funkèní";1430;1976;1984;;"52.0345";"9.41";"GROHNDE"
"Nìmecko";"GUNDREMMINGEN-A";"uzavøená";250;1962;1966;1977;"48.51325";"10.40232";"GUNDREMMINGEN"
"Nìmecko";"GUNDREMMINGEN-B";"uzavøená";1344;1976;1984;2017;"48.51325";"10.40232";"GUNDREMMINGEN"
"Nìmecko";"GUNDREMMINGEN-C";"funkèní";1344;1976;1984;;"48.51325";"10.40232";"GUNDREMMINGEN"
"Nìmecko";"HDR GROSSWELZHEIM";"uzavøená";27;1965;1969;1971;"50.05814";"8.98713";"KARLSTEIN"
"Nìmecko";"ISAR-1";"uzavøená";912;1972;1977;2011;"48.6043";"12.2972";"ESSENBACH"
"Nìmecko";"ISAR-2";"funkèní";1485;1982;1988;;"48.6043";"12.2972";"ESSENBACH"
"Nìmecko";"KNK II";"uzavøená";21;1974;1978;1991;"49.00934";"8.43289";"EGGENSTEIN"
"Nìmecko";"KRUEMMEL";"uzavøená";1402;1974;1983;2011;"53.41";"10.40889";"GEESTHACHT"
"Nìmecko";"LINGEN";"uzavøená";268;1964;1968;1977;"52.4833";"7.3004";"LINGEN"
"Nìmecko";"MUELHEIM-KAERLICH";"uzavøená";1302;1975;1986;1988;"50.4086";"7.486";"MULHEIM-KAERLICH"
"Nìmecko";"MZFR";"uzavøená";57;1961;1966;1984;"49.10431";"8.43259";"KARLSRUHE"
"Nìmecko";"NECKARWESTHEIM-1";"uzavøená";840;1972;1976;2011;"49.0401";"9.17175";"NECKARWESTHEIM"
"Nìmecko";"NECKARWESTHEIM-2";"funkèní";1400;1982;1989;;"49.0401";"9.17175";"NECKARWESTHEIM"
"Nìmecko";"NIEDERAICHBACH";"uzavøená";106;1966;1973;1974;"48.60463";"12.30399";"KARLSTEIN"
"Nìmecko";"OBRIGHEIM";"uzavøená";357;1965;1968;2005;"49.36444";"9.07639";"OBRIGHEIM"
"Nìmecko";"PHILIPPSBURG-1";"uzavøená";926;1970;1979;2011;"49.25312";"8.4338";"PHILIPPSBURG"
"Nìmecko";"PHILIPPSBURG-2";"funkèní";1468;1977;1984;;"49.25312";"8.4338";"PHILIPPSBURG"
"Nìmecko";"RHEINSBERG";"uzavøená";70;1960;1966;1990;"53.14699";"12.99015";"GRANSEE"
"Nìmecko";"STADE";"uzavøená";672;1967;1972;2003;"53.62";"9.53083";"STADE"
"Nìmecko";"THTR-300";"uzavøená";308;1971;1985;1988;"51.6792";"7.9716";"HAMM-UENTROP"
"Nìmecko";"UNTERWESER";"uzavøená";1410;1972;1978;2011;"53.4294";"8.4775";"STADLAND"
"Nìmecko";"VAK KAHL";"uzavøená";16;1958;1961;1985;"50.0592";"8.98718";"KAHL"
"Nìmecko";"WUERGASSEN";"uzavøená";670;1968;1971;1994;"51.63965";"9.39156";"WUERGASSEN"
"Maïarsko";"PAKS-1";"funkèní";500;1974;1982;;"46.574";"18.85516";"PAKS"
"Maïarsko";"PAKS-2";"funkèní";500;1974;1984;;"46.574";"18.85516";"PAKS"
"Maïarsko";"PAKS-3";"funkèní";500;1979;1986;;"46.574";"18.85516";"PAKS"
"Maïarsko";"PAKS-4";"funkèní";500;1979;1987;;"46.574";"18.85516";"PAKS"
"Indie";"CHUTKA-1";"plánovaná";700;2018;;;;;"Madhya Pradesh (Mandla)"
"Indie";"CHUTKA-2";"plánovaná";700;2018;;;;;"Madhya Pradesh (Mandla)"
"Indie";"GORAKHPUR-1";"plánovaná";700;2019;;;;;"Haryana (Fatehabad district)"
"Indie";"GORAKHPUR-2";"plánovaná";700;2020;;;;;"Haryana (Fatehabad district)"
"Indie";"GORAKHPUR-3";"plánovaná";700;2019;;;;;"Haryana (Fatehabad district)"
"Indie";"GORAKHPUR-4";"plánovaná";700;2019;;;;;"Haryana (Fatehabad district)"
"Indie";"JAITAPUR-1";"plánovaná";1700;2018;;;;;"Ratnagiri, Maharashtra"
"Indie";"JAITAPUR-2";"plánovaná";1700;2018;;;;;"Ratnagiri, Maharashtra"
"Indie";"KAIGA-1";"funkèní";220;1989;2000;;"14.8652";"74.4381";"KAIGA"
"Indie";"KAIGA-2";"funkèní";220;1989;1999;;"14.8652";"74.4381";"KAIGA"
"Indie";"KAIGA-3";"funkèní";220;2002;2007;;"14.8652";"74.4381";"KAIGA"
"Indie";"KAIGA-4";"funkèní";220;2002;2011;;"14.8652";"74.4381";"KAIGA"
"Indie";"KAIGA-5";"plánovaná";700;2018;;;"14.8652";"74.4381";"KAIGA"
"Indie";"KAIGA-6";"plánovaná";700;2018;;;"14.8652";"74.4381";"KAIGA"
"Indie";"KALPAKKAM-2";"plánovaná";600;2018;;;;;"Tamil Nadu"
"Indie";"KALPAKKAM-3";"plánovaná";600;2018;;;;;"Tamil Nadu"
"Indie";"KAKRAPAR-1";"funkèní";220;1984;1992;;"21.2355";"73.3507";"SURAT"
"Indie";"KAKRAPAR-2";"funkèní";220;1985;1995;;"21.2355";"73.3507";"SURAT"
"Indie";"KAKRAPAR-3";"výstavba";700;2010;;;"21.23861";"73.35";"SURAT"
"Indie";"KAKRAPAR-4";"výstavba";700;2010;;;"21.23861";"73.35";"SURAT"
"Indie";"KOVVADA-1";"plánovaná";1250;2018;;;;;"Srikakulam, Andhra Pradesh"
"Indie";"KOVVADA-2";"plánovaná";1250;2018;;;;;"Srikakulam, Andhra Pradesh"
"Indie";"KOVVADA-3";"plánovaná";1250;2020;;;;;"Srikakulam, Andhra Pradesh"
"Indie";"KOVVADA-4";"plánovaná";1250;2020;;;;;"Srikakulam, Andhra Pradesh"
"Indie";"KOVVADA-5";"plánovaná";1250;2022;;;;;"Srikakulam, Andhra Pradesh"
"Indie";"KOVVADA-6";"plánovaná";1250;2022;;;;;"Srikakulam, Andhra Pradesh"
"Indie";"KUDANKULAM-1";"funkèní";1000;2002;2013;;"8.16889";"77.7125";"Tirunellveli-Kattabomman"
"Indie";"KUDANKULAM-2";"funkèní";1000;2002;2016;;"8.16889";"77.7125";"Tirunellveli-Kattabomman"
"Indie";"KUDANKULAM-3";"výstavba";1000;2017;;;"8.16889";"77.7125";"Tirunellveli-Kattabomman"
"Indie";"KUDANKULAM-4";"plánovaná";1050;2018;;;"8.16889";"77.7125";"Tirunellveli-Kattabomman"
"Indie";"KUDANKULAM-5";"plánovaná";1050;2019;;;"8.16889";"77.7125";"Tirunellveli-Kattabomman"
"Indie";"KUDANKULAM-6";"plánovaná";1050;2019;;;"8.16889";"77.7125";"Tirunellveli-Kattabomman"
"Indie";"MADRAS-1";"funkèní";220;1971;1983;;"12.5575";"80.175";"MADRAS"
"Indie";"MADRAS-2";"funkèní";220;1972;1985;;"12.5575";"80.175";"MADRAS"
"Indie";"MAHI-BANSWARA-1";"plánovaná";700;2018;;;;;"Rajasthan"
"Indie";"MAHI-BANSWARA-2";"plánovaná";700;2018;;;;;"Rajasthan"
"Indie";"MAHI-BANSWARA-3";"plánovaná";700;2018;;;;;"Rajasthan"
"Indie";"MAHI-BANSWARA-4";"plánovaná";700;2018;;;;;"Rajasthan"
"Indie";"NARORA-1";"funkèní";220;1976;1989;;"28.1559";"78.4092";"NARORA"
"Indie";"NARORA-2";"funkèní";220;1977;1992;;"28.1559";"78.4092";"NARORA"
"Indie";"KALPAKKAM PFBR";"výstavba";500;2004;;;"12.55306";"80.17333";"MADRAS"
"Indie";"RAJASTHAN-1";"funkèní";100;1965;1972;;"24.8762";"75.6083";"KOTA"
"Indie";"RAJASTHAN-2";"funkèní";200;1968;1980;;"24.8762";"75.6083";"KOTA"
"Indie";"RAJASTHAN-3";"funkèní";220;1990;2000;;"24.8762";"75.6083";"KOTA"
"Indie";"RAJASTHAN-4";"funkèní";220;1990;2000;;"24.8762";"75.6083";"KOTA"
"Indie";"RAJASTHAN-5";"funkèní";220;2002;2009;;"24.8762";"75.6083";"KOTA"
"Indie";"RAJASTHAN-6";"funkèní";220;2003;2010;;"24.8762";"75.6083";"KOTA"
"Indie";"RAJASTHAN-7";"výstavba";700;2011;;;"24.87222";"75.61389";"KOTA"
"Indie";"RAJASTHAN-8";"výstavba";700;2011;;;"24.87222";"75.61389";"KOTA"
"Indie";"TARAPUR-1";"funkèní";160;1964;1969;;"19.8343";"72.6567";"BOISAR"
"Indie";"TARAPUR-2";"funkèní";160;1964;1969;;"19.8343";"72.6567";"BOISAR"
"Indie";"TARAPUR-3";"funkèní";540;2000;2006;;"19.8343";"72.6567";"BOISAR"
"Indie";"TARAPUR-4";"funkèní";540;2000;2005;;"19.8343";"72.6567";"BOISAR"
"Írán";"BUSHEHR-1";"funkèní";1000;1975;2011;;"28.82962";"50.88596";"HALILEH"
"Írán";"BUSHEHR-2";"plánovaná";1057;2017;;;"28.82962";"50.88596";"HALILEH"
"Írán";"BUSHEHR-3";"plánovaná";1057;2020;;;"28.82962";"50.88596";"HALILEH"
"Írán";"MAKRAN";"plánovaná";100;2018;;;;;"Makran coast"
"Itálie";"CAORSO";"uzavøená";882;1970;1978;1990;"45.07206";"9.87214";"CAORSO"
"Itálie";"ENRICO FERMI";"uzavøená";270;1961;1964;1990;"41.96278";"-83.2575";"TRINO VERCELLESE"
"Itálie";"GARIGLIANO";"uzavøená";160;1959;1964;1982;"41.25849";"13.83492";"SESSA AURUNEA"
"Itálie";"LATINA";"uzavøená";160;1958;1963;1987;"41.42529";"12.80725";"BORGO SABOTINO"
"Japonsko";"FUGEN ATR";"uzavøená";165;1972;1978;2003;"35.75444";"136.01639";"TSURUGA"
"Japonsko";"FUKUSHIMA-DAIICHI-1";"uzavøená";460;1967;1970;2011;"37.4217";"141.031";"OHKUMA-MACHI"
"Japonsko";"FUKUSHIMA-DAIICHI-2";"uzavøená";784;1969;1973;2011;"37.4217";"141.031";"OHKUMA-MACHI"
"Japonsko";"FUKUSHIMA-DAIICHI-3";"uzavøená";784;1970;1974;2011;"37.4217";"141.031";"OHKUMA-MACHI"
"Japonsko";"FUKUSHIMA-DAIICHI-4";"uzavøená";784;1973;1978;2011;"37.4217";"141.031";"OHKUMA-MACHI"
"Japonsko";"FUKUSHIMA-DAIICHI-5";"uzavøená";784;1972;1977;2013;"37.4217";"141.031";"OHKUMA-MACHI"
"Japonsko";"FUKUSHIMA-DAIICHI-6";"uzavøená";1100;1973;1979;2013;"37.4217";"141.031";"OHKUMA-MACHI"
"Japonsko";"FUKUSHIMA-DAINI-1";"funkèní";1100;1976;1981;;"37.3153";"141.024";"NARAHA-MACHI"
"Japonsko";"FUKUSHIMA-DAINI-2";"funkèní";1100;1979;1983;;"37.3153";"141.024";"NARAHA-MACHI"
"Japonsko";"FUKUSHIMA-DAINI-3";"funkèní";1100;1981;1984;;"37.3153";"141.024";"NARAHA-MACHI"
"Japonsko";"FUKUSHIMA-DAINI-4";"funkèní";1100;1981;1986;;"37.3153";"141.024";"NARAHA-MACHI"
"Japonsko";"GENKAI-1";"uzavøená";559;1971;1975;2015;"33.5179";"129.837";"GENKAI-CHO"
"Japonsko";"GENKAI-2";"funkèní";559;1977;1980;;"33.5179";"129.837";"GENKAI-CHO"
"Japonsko";"GENKAI-3";"funkèní";1180;1988;1993;;"33.5179";"129.837";"GENKAI-CHO"
"Japonsko";"GENKAI-4";"funkèní";1180;1992;1996;;"33.5179";"129.837";"GENKAI-CHO"
