"stat";"reaktor";"stav";"kapacita";"start";"dostaveno";"zavreno";"lat";"long";"platz"
"Argentina";"ATUCHA-1";"funkèní";362;1968;1974;;"-33.9669";"-59.2086";"LIMA"
"Argentina";"ATUCHA-2";"funkèní";745;1981;2014;;"-33.9669";"-59.2086";"LIMA"
"Argentina";"ATUCHA-3";"plánovaná";750;2018;2025;;"-33.9669";"-59.2086";"LIMA"
"Argentina";"5th unit";"plánovaná";1150;2020;2026;;;;"-"
"Argentina";"EMBALSE";"funkèní";648;1974;1983;;"-32.2315";"-64.4423";"EMBALSE"
"Argentina";"CAREM25";"výstavba";29;2014;;;"-33.9675";"-59.205";"LIMA"
"Arménie";"ARMENIAN-1";"uzavøená";408;1969;1976;;"40.1813";"44.1472";"METSAMOR"
"Arménie";"ARMENIAN-2";"funkèní";408;1975;1980;;"40.1813";"44.1472";"METSAMOR"
"Arménie";"ARMENIAN-3";"plánovaná";1060;2018;;;"40.1813";"44.1472";
"Bangladéš";"ROOPPUR-1";"výstavba";1200;2017;;;;;"PABNA"
"Bangladéš";"ROOPPUR-2";"plánovaná";1200;2018;;;;;"PABNA"
"Bìlorusko";"BELARUSIAN-1";"výstavba";1194;2013;;;"54.76111";"26.08917";"Ostrovets"
"Bìlorusko";"BELARUSIAN-2";"výstavba";1194;2014;;;"54.76111";"26.08917";"Ostrovets"
"Belgie";"DOEL-1";"funkèní";454;1969;1974;;"51.3227";"4.25868";"DOEL-BEVEREN"
"Belgie";"DOEL-2";"funkèní";454;1971;1975;;"51.3227";"4.25868";"DOEL-BEVEREN"
"Belgie";"DOEL-3";"funkèní";1056;1975;1982;;"51.3227";"4.25868";"DOEL-BEVEREN"
"Belgie";"DOEL-4";"funkèní";1090;1978;1985;;"51.3227";"4.25868";"DOEL-BEVEREN"
"Belgie";"TIHANGE-1";"funkèní";1009;1970;1975;;"50.5333";"5.271";"TIHANGE"
"Belgie";"TIHANGE-2";"funkèní";1055;1976;1982;;"50.5333";"5.271";"TIHANGE"
"Belgie";"TIHANGE-3";"funkèní";1089;1978;1985;;"50.5333";"5.271";"TIHANGE"
"Belgie";"BR-3";"uzavøená";12;1957;1962;1987;"51.21852";"5.09324";"MOL"
"Brazílie";"ANGRA-1";"funkèní";640;1971;1982;;"-23.008";"-44.4567";"ANGRA DOS-REIS"
"Brazílie";"ANGRA-2";"funkèní";1350;1976;2000;;"-23.008";"-44.4567";"ANGRA DOS-REIS"
"Brazílie";"ANGRA-3";"výstavba";1405;2010;;;"-23.008";"-44.4567";"ANGRA DOS-REIS"
"Bulharsko";"KOZLODUY-1";"uzavøená";440;1970;1974;2002;"43.74611";"23.77056";"VRATZA"
